county,precinct,office,district,party,candidate,votes
Shelby,Collierville 01,State House,95,Democratic,Julie Byrd Ashworth,15
Shelby,Collierville 01,State House,95,Republican,Billy Patton,109
Shelby,Collierville 01,State House,95,Republican,Curtis D. Loynachan,27
Shelby,Collierville 01,State House,95,Republican,Frank Uhlhorn,9
Shelby,Collierville 01,State House,95,Republican,Gail Williams Horner,53
Shelby,Collierville 01,State House,95,Republican,Joseph Aaron Crone,4
Shelby,Collierville 01,State House,95,Republican,Kevin Vaughan,148
Shelby,Collierville 01,State House,95,Republican,Missy Marshall,62
Shelby,Collierville 02,State House,95,Democratic,Julie Byrd Ashworth,34
Shelby,Collierville 02,State House,95,Republican,Billy Patton,92
Shelby,Collierville 02,State House,95,Republican,Curtis D. Loynachan,7
Shelby,Collierville 02,State House,95,Republican,Frank Uhlhorn,23
Shelby,Collierville 02,State House,95,Republican,Gail Williams Horner,18
Shelby,Collierville 02,State House,95,Republican,Joseph Aaron Crone,1
Shelby,Collierville 02,State House,95,Republican,Kevin Vaughan,91
Shelby,Collierville 02,State House,95,Republican,Missy Marshall,48
Shelby,Collierville 03,State House,95,Democratic,Julie Byrd Ashworth,22
Shelby,Collierville 03,State House,95,Republican,Billy Patton,120
Shelby,Collierville 03,State House,95,Republican,Curtis D. Loynachan,39
Shelby,Collierville 03,State House,95,Republican,Frank Uhlhorn,10
Shelby,Collierville 03,State House,95,Republican,Gail Williams Horner,26
Shelby,Collierville 03,State House,95,Republican,Joseph Aaron Crone,2
Shelby,Collierville 03,State House,95,Republican,Kevin Vaughan,111
Shelby,Collierville 03,State House,95,Republican,Missy Marshall,56
Shelby,Collierville 04,State House,95,Democratic,Julie Byrd Ashworth,44
Shelby,Collierville 04,State House,95,Republican,Billy Patton,110
Shelby,Collierville 04,State House,95,Republican,Curtis D. Loynachan,9
Shelby,Collierville 04,State House,95,Republican,Frank Uhlhorn,32
Shelby,Collierville 04,State House,95,Republican,Gail Williams Horner,38
Shelby,Collierville 04,State House,95,Republican,Joseph Aaron Crone,1
Shelby,Collierville 04,State House,95,Republican,Kevin Vaughan,148
Shelby,Collierville 04,State House,95,Republican,Missy Marshall,102
Shelby,Collierville 05,State House,95,Democratic,Julie Byrd Ashworth,14
Shelby,Collierville 05,State House,95,Republican,Billy Patton,42
Shelby,Collierville 05,State House,95,Republican,Curtis D. Loynachan,28
Shelby,Collierville 05,State House,95,Republican,Frank Uhlhorn,6
Shelby,Collierville 05,State House,95,Republican,Gail Williams Horner,16
Shelby,Collierville 05,State House,95,Republican,Joseph Aaron Crone,5
Shelby,Collierville 05,State House,95,Republican,Kevin Vaughan,122
Shelby,Collierville 05,State House,95,Republican,Missy Marshall,44
Shelby,Collierville 06,State House,95,Democratic,Julie Byrd Ashworth,18
Shelby,Collierville 06,State House,95,Republican,Billy Patton,56
Shelby,Collierville 06,State House,95,Republican,Curtis D. Loynachan,2
Shelby,Collierville 06,State House,95,Republican,Frank Uhlhorn,49
Shelby,Collierville 06,State House,95,Republican,Gail Williams Horner,7
Shelby,Collierville 06,State House,95,Republican,Joseph Aaron Crone,7
Shelby,Collierville 06,State House,95,Republican,Kevin Vaughan,71
Shelby,Collierville 06,State House,95,Republican,Missy Marshall,58
Shelby,Collierville 07,State House,95,Democratic,Julie Byrd Ashworth,60
Shelby,Collierville 07,State House,95,Republican,Billy Patton,34
Shelby,Collierville 07,State House,95,Republican,Curtis D. Loynachan,3
Shelby,Collierville 07,State House,95,Republican,Frank Uhlhorn,15
Shelby,Collierville 07,State House,95,Republican,Gail Williams Horner,13
Shelby,Collierville 07,State House,95,Republican,Joseph Aaron Crone,0
Shelby,Collierville 07,State House,95,Republican,Kevin Vaughan,22
Shelby,Collierville 07,State House,95,Republican,Missy Marshall,23
Shelby,Collierville 08,State House,95,Democratic,Julie Byrd Ashworth,7
Shelby,Collierville 08,State House,95,Republican,Billy Patton,41
Shelby,Collierville 08,State House,95,Republican,Curtis D. Loynachan,1
Shelby,Collierville 08,State House,95,Republican,Frank Uhlhorn,13
Shelby,Collierville 08,State House,95,Republican,Gail Williams Horner,7
Shelby,Collierville 08,State House,95,Republican,Joseph Aaron Crone,2
Shelby,Collierville 08,State House,95,Republican,Kevin Vaughan,51
Shelby,Collierville 08,State House,95,Republican,Missy Marshall,72
Shelby,Collierville 09,State House,95,Democratic,Julie Byrd Ashworth,32
Shelby,Collierville 09,State House,95,Republican,Billy Patton,88
Shelby,Collierville 09,State House,95,Republican,Curtis D. Loynachan,12
Shelby,Collierville 09,State House,95,Republican,Frank Uhlhorn,22
Shelby,Collierville 09,State House,95,Republican,Gail Williams Horner,20
Shelby,Collierville 09,State House,95,Republican,Joseph Aaron Crone,3
Shelby,Collierville 09,State House,95,Republican,Kevin Vaughan,98
Shelby,Collierville 09,State House,95,Republican,Missy Marshall,76
Shelby,Cordova 03,State House,95,Democratic,Julie Byrd Ashworth,0
Shelby,Cordova 03,State House,95,Republican,Billy Patton,0
Shelby,Cordova 03,State House,95,Republican,Curtis D. Loynachan,0
Shelby,Cordova 03,State House,95,Republican,Frank Uhlhorn,2
Shelby,Cordova 03,State House,95,Republican,Gail Williams Horner,0
Shelby,Cordova 03,State House,95,Republican,Joseph Aaron Crone,0
Shelby,Cordova 03,State House,95,Republican,Kevin Vaughan,0
Shelby,Cordova 03,State House,95,Republican,Missy Marshall,0
Shelby,Eads,State House,95,Democratic,Julie Byrd Ashworth,11
Shelby,Eads,State House,95,Republican,Billy Patton,6
Shelby,Eads,State House,95,Republican,Curtis D. Loynachan,3
Shelby,Eads,State House,95,Republican,Frank Uhlhorn,15
Shelby,Eads,State House,95,Republican,Gail Williams Horner,13
Shelby,Eads,State House,95,Republican,Joseph Aaron Crone,1
Shelby,Eads,State House,95,Republican,Kevin Vaughan,41
Shelby,Eads,State House,95,Republican,Missy Marshall,13
Shelby,Forest Hills 02,State House,95,Democratic,Julie Byrd Ashworth,5
Shelby,Forest Hills 02,State House,95,Republican,Billy Patton,3
Shelby,Forest Hills 02,State House,95,Republican,Curtis D. Loynachan,2
Shelby,Forest Hills 02,State House,95,Republican,Frank Uhlhorn,3
Shelby,Forest Hills 02,State House,95,Republican,Gail Williams Horner,3
Shelby,Forest Hills 02,State House,95,Republican,Joseph Aaron Crone,0
Shelby,Forest Hills 02,State House,95,Republican,Kevin Vaughan,3
Shelby,Forest Hills 02,State House,95,Republican,Missy Marshall,5
Shelby,Germantown 03,State House,95,Democratic,Julie Byrd Ashworth,2
Shelby,Germantown 03,State House,95,Republican,Billy Patton,0
Shelby,Germantown 03,State House,95,Republican,Curtis D. Loynachan,0
Shelby,Germantown 03,State House,95,Republican,Frank Uhlhorn,18
Shelby,Germantown 03,State House,95,Republican,Gail Williams Horner,0
Shelby,Germantown 03,State House,95,Republican,Joseph Aaron Crone,0
Shelby,Germantown 03,State House,95,Republican,Kevin Vaughan,2
Shelby,Germantown 03,State House,95,Republican,Missy Marshall,3
Shelby,Germantown 04,State House,95,Democratic,Julie Byrd Ashworth,39
Shelby,Germantown 04,State House,95,Republican,Billy Patton,24
Shelby,Germantown 04,State House,95,Republican,Curtis D. Loynachan,0
