county,office,district,party,candidate,votes
Dyer,State House,77,Democratic,Michael Smith,250
Dyer,State House,77,Independent,Billy M Jones,6
Dyer,State House,77,Independent,Max Smith,20
Dyer,State House,77,Independent,Ronnie Henley,13
Dyer,State House,77,Republican,Rusty Grills,2103
Lake,State House,77,Democratic,Michael Smith,115
Lake,State House,77,Independent,Billy M Jones,0
Lake,State House,77,Independent,Max Smith,3
Lake,State House,77,Independent,Ronnie Henley,2
Lake,State House,77,Republican,Rusty Grills,231
Obion,State House,77,Democratic,Michael Smith,139
Obion,State House,77,Independent,Billy M Jones,9
Obion,State House,77,Independent,Max Smith,16
Obion,State House,77,Independent,Ronnie Henley,6
Obion,State House,77,Republican,Rusty Grills,1010
